driverId,predicted_points,Q3_probability,Q2_probability,Q1_probability
leclerc,29.098867420802534,0.9980000000000001,0.0,0.0
verstappen,27.053882885327354,1.0000000000000002,0.0,0.0
piastri,25.015569585522297,0.9939999999999999,0.0,0.0
norris,24.559502545325405,0.9920000000000001,0.008,0.0
hamilton,24.22329908449719,0.9900000000000002,0.008,0.0
sainz,22.28218481535585,0.988,0.01,0.0
russell,13.909515242749585,0.886,0.10400000000000001,0.006
colapinto,10.845679744229251,0.8140000000000001,0.168,0.014
alonso,6.017775848494648,0.496,0.396,0.106
perez,5.2471484071733006,0.41200000000000003,0.45599999999999996,0.128
ricciardo,4.17220783225316,0.31000000000000005,0.4840000000000001,0.202
albon,4.038395745787191,0.32,0.51,0.16600000000000004
stroll,3.082862842120406,0.188,0.49400000000000005,0.316
magnussen,2.84339581687541,0.164,0.45799999999999996,0.376
gasly,2.7182034731768803,0.15599999999999997,0.458,0.37800000000000006
tsunoda,2.3549337174099727,0.064,0.36,0.576
hulkenberg,2.3534748863339408,0.068,0.372,0.5559999999999999
bottas,2.3444955342913896,0.07999999999999999,0.33199999999999996,0.5840000000000001
ocon,2.0534285731926656,0.022,0.244,0.732
zhou,2.0291955206411156,0.014,0.13,0.8520000000000001
