position,driverId,constructorId,gap,gridPosition,round,year,circuitId,fp1_position,fp1_gap,fp2_position,fp2_gap,fp3_position,fp3_gap,qual_position,q1,q2,q3,fastest_lap,driver_of_the_day,position_num,risky_circuit,dnf,positions_gained,fantasy_points,position_minus1,fantasy_points_minus1,position_minus2,fantasy_points_minus2,position_minus3,fantasy_points_minus3,position_minus4,fantasy_points_minus4,position_minus5,fantasy_points_minus5
1,hamilton,mercedes,0.0,1.0,1,2015,australia,2.0,0.029,2.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0,1,0,1.0,1,0,0.0,45.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2,rosberg,mercedes,1.36,2.0,1,2015,australia,1.0,0.0,1.0,0.0,3.0,0.954,2.0,0.3200000000000074,0.20300000000000296,0.5939999999999941,0,0,2.0,1,0,0.0,27.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
3,vettel,ferrari,34.523,4.0,1,2015,australia,5.0,1.472,3.0,0.715,2.0,0.696,4.0,0.7210000000000036,0.847999999999999,1.4300000000000068,0,0,3.0,1,0,1.0,24.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
4,massa,williams,38.196,3.0,1,2015,australia,7.0,1.631,,,5.0,1.121,3.0,0.6599999999999966,1.0009999999999906,1.3910000000000053,0,0,4.0,1,0,-1.0,19.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
5,nasr,sauber,59.978,10.0,1,2015,australia,,,11.0,3.058,10.0,2.067,11.0,1.8440000000000083,1.9059999999999917,,0,0,5.0,1,0,6.0,21.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,ricciardo,red-bull,59.978,6.0,1,2015,australia,10.0,2.013,,,15.0,3.318,7.0,1.2019999999999982,1.7849999999999966,2.0020000000000095,0,0,6.0,1,0,1.0,14.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
7,hulkenberg,force-india,59.978,13.0,1,2015,australia,13.0,2.704,10.0,2.776,13.0,2.874,14.0,1.0649999999999977,2.313999999999993,,0,0,7.0,1,0,7.0,19.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8,ericsson,sauber,59.978,15.0,1,2015,australia,,,15.0,4.606,12.0,2.746,16.0,2.7900000000000063,,,0,0,8.0,1,0,8.0,19.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
9,sainz,toro-rosso,59.978,7.0,1,2015,australia,4.0,1.457,7.0,2.374,9.0,2.002,8.0,1.01100000000001,1.7069999999999936,2.183000000000007,0,0,9.0,1,0,-1.0,4.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
10,perez,force-india,59.978,14.0,1,2015,australia,12.0,2.69,12.0,3.283,14.0,3.126,15.0,1.4039999999999964,2.3149999999999977,,0,0,10.0,1,0,5.0,10.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
11,button,mclaren,59.978,16.0,1,2015,australia,14.0,4.985,13.0,3.69,17.0,3.799,17.0,2.8359999999999985,,,0,0,11.0,1,0,6.0,11.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
DNF,raikkonen,ferrari,59.978,5.0,1,2015,australia,8.0,1.753,4.0,1.145,6.0,1.15,5.0,1.1680000000000064,0.9129999999999967,1.4629999999999939,0,0,,1,1,,-14.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
DNF,verstappen,toro-rosso,59.978,11.0,1,2015,australia,6.0,1.51,14.0,3.698,11.0,2.085,12.0,0.6620000000000061,1.9739999999999895,,0,0,,1,1,,-20.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
DNF,grosjean,lotus-f1,59.978,8.0,1,2015,australia,16.0,8.061694178927688,9.0,2.508,7.0,1.614,9.0,0.9510000000000076,1.6949999999999932,2.233000000000004,0,0,,1,1,,-18.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
DNF,maldonado,lotus-f1,59.978,9.0,1,2015,australia,9.0,1.894,8.0,2.407,8.0,1.997,10.0,1.26100000000001,1.8319999999999936,3.153000000000006,0,0,,1,1,,-19.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
DNF,kvyat,red-bull,59.978,12.0,1,2015,australia,11.0,2.516,6.0,2.319,18.0,4.963,13.0,1.8160000000000025,2.1759999999999877,,0,0,,1,1,,-20.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
DNF,magnussen,mclaren,59.978,17.0,1,2015,australia,15.0,5.228,16.0,4.854043336675618,16.0,3.524,18.0,3.4510000000000076,,,0,0,,1,1,,-20.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
DNF,bottas,williams,59.978,,1,2015,australia,3.0,1.191,5.0,1.568,4.0,1.045,6.0,1.0549999999999926,0.9019999999999868,1.7600000000000051,0,0,,1,1,,-15.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
DNF,stevens,marussia,59.978,,1,2015,australia,,,,,,,,,,,0,0,,1,1,,-25.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
DNF,merhi,marussia,59.978,,1,2015,australia,,,,,,,,,,,0,0,,1,1,,-25.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
1,vettel,ferrari,0.0,2.0,2,2015,malaysia,3.0,0.861,7.0,0.862,4.0,0.576,2.0,0.5449999999999875,0.25499999999999545,0.07399999999999807,0,0,1.0,1,0,1.0,36.0,3.0,24,0.0,0,0.0,0,0.0,0,0.0,0
2,hamilton,mercedes,8.569,1.0,2,2015,malaysia,20.0,,1.0,0.0,2.0,0.184,1.0,0.0,2.1399999999999864,0.0,0,0,2.0,1,0,-1.0,27.0,1.0,45,0.0,0,0.0,0,0.0,0,0.0,0
3,rosberg,mercedes,12.31,3.0,2,2015,malaysia,1.0,0.0,3.0,0.428,1.0,0.0,3.0,0.10499999999998977,0.0,0.4650000000000034,1,0,3.0,1,0,0.0,33.0,2.0,27,0.0,0,0.0,0,0.0,0,0.0,0
4,raikkonen,ferrari,53.822,11.0,2,2015,malaysia,2.0,0.373,2.0,0.373,3.0,0.555,11.0,1.1459999999999866,2.7959999999999923,,0,0,4.0,1,0,7.0,25.0,,-14,0.0,0,0.0,0,0.0,0,0.0,0
5,bottas,williams,59.978,8.0,2,2015,malaysia,8.0,1.758,5.0,0.66,6.0,0.716,9.0,0.9799999999999898,1.2729999999999961,3.344999999999999,0,0,5.0,1,0,4.0,20.0,,-15,0.0,0,0.0,0,0.0,0,0.0,0
6,massa,williams,59.978,7.0,2,2015,malaysia,11.0,1.979,6.0,0.77,5.0,0.701,7.0,1.274000000000001,1.8529999999999802,2.638999999999996,0,0,6.0,1,0,1.0,14.0,4.0,19,0.0,0,0.0,0,0.0,0,0.0,0
